,file,vp,const,condition,group,face,trialnr,nBubbles,rt,prob_happy
1020,comp0001022,S14,5,7,experimental,f1100,1022,139,1.8513,0.03663649782538414
1021,comp0001023,S14,5,5,experimental,f1082,1023,135,1.6337,0.38104119896888733
1022,comp0001024,S14,5,7,experimental,f1094,1024,132,0.90272,0.3657713234424591
1025,comp0001027,S14,5,7,experimental,f1115,1027,148,0.94512,0.6595816612243652
1027,comp0001029,S14,5,5,experimental,f1076,1029,154,0.92466,0.857232391834259
1028,comp0001030,S14,5,5,experimental,f1071,1030,151,1.3259,0.8418489694595337
1029,comp0001031,S14,5,7,experimental,f1114,1031,149,0.91751,0.03371885046362877
1031,comp0001033,S14,5,7,experimental,f1105,1033,154,0.99566,0.723531186580658
1032,comp0001034,S14,5,7,experimental,f1120,1034,152,1.0436,0.026748208329081535
1033,comp0001035,S14,5,7,experimental,f1111,1035,149,1.181,0.036393240094184875
1034,comp0001036,S14,5,7,experimental,f1093,1036,147,0.90692,0.04315662756562233
1035,comp0001037,S14,5,5,experimental,f1067,1037,145,1.6099,0.9412018060684204
1036,comp0001038,S14,5,7,experimental,f1098,1038,143,1.1005,0.13924473524093628
1038,comp0001040,S14,5,7,experimental,f1102,1040,147,1.0758,0.05966057628393173
1041,comp0001043,S14,5,7,experimental,f1101,1043,156,1.4129,0.023003924638032913
1042,comp0001044,S14,5,7,experimental,f1107,1044,154,1.2443,0.9850665330886841
1043,comp0001045,S14,5,5,experimental,f1074,1045,152,0.98118,0.9341890215873718
1044,comp0001046,S14,5,7,experimental,f1106,1046,151,1.0215,0.08955668658018112
1045,comp0001047,S14,5,7,experimental,f1116,1047,149,0.92332,0.004022933077067137
1046,comp0001048,S14,5,5,experimental,f1068,1048,147,1.7558,0.17833957076072693
1047,comp0001049,S14,5,7,experimental,f1119,1049,146,1.043,0.0008038476225920022
1049,comp0001051,S14,5,7,experimental,f1108,1051,149,1.8244,0.046087875962257385
1050,comp0001052,S14,5,7,experimental,f1113,1052,147,1.0932,0.3025825023651123
1051,comp0001053,S14,5,5,experimental,f1089,1053,146,0.88247,0.05491282045841217
1052,comp0001054,S14,5,5,experimental,f1081,1054,144,0.77978,0.2447691112756729
1053,comp0001055,S14,5,5,experimental,f1085,1055,143,1.3808,0.2550283372402191
1055,comp0001057,S14,5,7,experimental,f1097,1057,145,1.6666,0.42017126083374023
1056,comp0001058,S14,5,7,experimental,f1091,1058,144,1.1526,0.0018943398026749492
1057,comp0001059,S14,5,7,experimental,f1109,1059,143,1.0469,0.26284122467041016
1058,comp0001060,S14,5,5,experimental,f1087,1060,142,0.87392,0.9054063558578491
1059,comp0001061,S14,5,7,experimental,f1110,1061,141,1.8536,0.34039416909217834
1060,comp0001062,S14,5,5,experimental,f1086,1062,140,1.3262,0.3885878920555115
